fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,0.333,other,0.0,,1.03,1.16,,,,0,3,0,4,1,,4,414,3,,,,,,,,,,,,0,,2475,2270,2021-09-27,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.742,0.68,0,,3
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.075,other,88.7,,1.11,0.88,,,,5,1,5,4,2,,4,878,0,,,,,,,,,,,,0,,3668,3051,2021-09-27,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.651,0.542,0,,3
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.102,other,139.1,,1.23,0.1,,,0.95,5,2,5,4,2,,3,45090,248,,,,541,485,79,,55,52,19,,537,,176819,151959,2021-09-27,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.614,0.528,0,,3
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.124,other,132.9,,0.96,0.31,,,,5,2,5,4,1,,4,4966,25,,,,,,,,,,,,0,,11160,10212,2021-09-27,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.607,0.555,0,,3
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,0.059,other,0.0,,1.0,1.17,,,,0,1,0,4,1,,4,608,2,,,,,,,,,,,,0,,,,2021-09-27,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,1
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.5,other,95.4,,,,,,,5,3,5,4,4,,4,218,1,,,,,,,,,,,,0,,1096,948,2021-09-27,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.523,0.452,0,,3
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.167,other,206.3,,0.86,0.63,,,,5,2,5,4,0,,4,550,5,,,,,,,,,,,,0,,2298,2050,2021-09-27,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.467,0.417,0,,3
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.206,other,142.8,,1.09,0.13,,,0.54,5,3,5,4,1,,0,11764,62,,,,81,66,17,,13,7,0,,0,,51242,43898,2021-09-27,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.529,0.453,0,,3
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,0.051,other,203.3,,1.21,0.8,,,,5,1,5,4,2,,4,196,0,,,,,,,,,,,,0,,1644,1572,2021-09-27,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.65,0.621,0,,3
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.247,other,0.0,,,,,,,0,3,0,4,4,,4,0,0,,,,,,,,,,,,0,,1466,1380,2021-09-27,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.682,0.642,0,,3
